"일정","변화","시간대","혼자/함께","감각유형","추천 활동 1","추천 활동 2","추천 활동 3"
"루즈","O","아침","혼자","감각 둔감형","빠른 산책(20분, 신체활동은 엔도르핀↑)","시끄러운 음악 감상(10분, 감각 자극)","차가운 샤워(5분, 감각 각성)"
"루즈","O","아침","혼자","감각 민감+추구형","아로마 요가(15분, 후각+신체 이완)","컬러링북 색칠(10분, 몰입·창의성)","햇살 명상(10분, 세로토닌↑)"
"루즈","O","아침","혼자","감각 추구형","즉흥 그림(15분, 다중 감각 자극)","다양한 차 시음(10분, 미각 자극)","댄스(10분, 신체+음악 자극)"
"루즈","O","아침","혼자","감각 민감+회피형","명상(10분, 불안 완화)","잔잔한 음악 감상(10분, 심박수↓)","퍼즐 맞추기(15분, 반복 활동)"
"루즈","O","아침","혼자","감각 회피형","정리정돈(10분, 예측 가능 활동)","조용한 독서(20분, 저자극 환경)","뜨개질(15분, 반복적 손작업)"
"루즈","O","아침","함께","감각 둔감형","친구와 빠른 산책(20분)","단체 스트레칭(10분)","활기찬 대화(10분, 사회적 자극)"
"루즈","O","아침","함께","감각 민감+추구형","함께 아로마 요가(15분)","컬러링북 색칠(10분)","차 시음 모임(10분)"
"루즈","O","아침","함께","감각 추구형","즉흥 댄스(10분)","새로운 카페 탐방(15분)","다양한 간식 시식(10분)"
"루즈","O","아침","함께","감각 민감+회피형","조용한 산책(20분)","퍼즐 맞추기(15분)","잔잔한 음악 듣기(10분)"
"루즈","O","아침","함께","감각 회피형","소규모 독서 모임(20분)","명상 클래스(10분)","뜨개질 클래스(15분)"
"루즈","O","저녁","혼자","감각 둔감형","저녁 러닝(20분)","강렬한 음악 감상(10분)","차가운 샤워(5분)"
"루즈","O","저녁","혼자","감각 민감+추구형","아로마 목욕(15분)","컬러링북 색칠(10분)","조용한 요가(15분)"
"루즈","O","저녁","혼자","감각 추구형","즉흥 그림(15분)","다양한 허브차 시음(10분)","촉감 놀이(10분, 촉각 자극)"
"루즈","O","저녁","혼자","감각 민감+회피형","저녁 명상(10분)","잔잔한 음악 감상(10분)","독서(20분)"
"루즈","O","저녁","혼자","감각 회피형","퍼즐 맞추기(15분)","정리정돈(10분)","뜨개질(15분)"
"루즈","O","저녁","함께","감각 둔감형","친구와 저녁 산책(20분)","단체 스트레칭(10분)","활기찬 대화(10분)"
"루즈","O","저녁","함께","감각 민감+추구형","함께 아로마 요가(15분)","컬러링북 색칠(10분)","차 시음 모임(10분)"
"루즈","O","저녁","함께","감각 추구형","즉흥 댄스(10분)","새로운 카페 탐방(15분)","다양한 간식 시식(10분)"
"루즈","O","저녁","함께","감각 민감+회피형","조용한 산책(20분)","퍼즐 맞추기(15분)","잔잔한 음악 듣기(10분)"
"루즈","O","저녁","함께","감각 회피형","소규모 독서 모임(20분)","명상 클래스(10분)","뜨개질 클래스(15분)"
"루즈","X","아침","혼자","감각 둔감형","빠른 산책(20분)","강한 맛 커피(5분, 미각 자극)","시끄러운 음악(10분)"
"루즈","X","아침","혼자","감각 민감+추구형","햇살 요가(15분)","아로마테라피(10분)","컬러링북 색칠(10분)"
"루즈","X","아침","혼자","감각 추구형","자연 소리 명상(10분)","즉흥 그림(15분)","다양한 차 시음(5분)"
"루즈","X","아침","혼자","감각 민감+회피형","조용한 독서(20분)","아침 명상(10분)","잔잔한 음악 감상(10분)"
"루즈","X","아침","혼자","감각 회피형","퍼즐 맞추기(15분)","정리정돈(10분)","뜨개질(15분)"
"루즈","X","아침","함께","감각 둔감형","친구와 빠른 산책(20분)","단체 스트레칭(10분)","활기찬 대화(10분)"
"루즈","X","아침","함께","감각 민감+추구형","함께 아로마 요가(15분)","컬러링북 색칠(10분)","차 시음 모임(10분)"
"루즈","X","아침","함께","감각 추구형","즉흥 댄스(10분)","새로운 카페 탐방(15분)","다양한 간식 시식(10분)"
"루즈","X","아침","함께","감각 민감+회피형","조용한 산책(20분)","퍼즐 맞추기(15분)","잔잔한 음악 듣기(10분)"
"루즈","X","아침","함께","감각 회피형","소규모 독서 모임(20분)","명상 클래스(10분)","뜨개질 클래스(15분)"
"루즈","X","저녁","혼자","감각 둔감형","저녁 러닝(20분)","강렬한 음악 감상(10분)","차가운 샤워(5분)"
"루즈","X","저녁","혼자","감각 민감+추구형","아로마 목욕(15분)","컬러링북 색칠(10분)","조용한 요가(15분)"
"루즈","X","저녁","혼자","감각 추구형","즉흥 그림(15분)","다양한 허브차 시음(10분)","촉감 놀이(10분)"
"루즈","X","저녁","혼자","감각 민감+회피형","저녁 명상(10분)","잔잔한 음악 감상(10분)","독서(20분)"
"루즈","X","저녁","혼자","감각 회피형","퍼즐 맞추기(15분)","정리정돈(10분)","뜨개질(15분)"
"루즈","X","저녁","함께","감각 둔감형","친구와 저녁 산책(20분)","단체 스트레칭(10분)","활기찬 대화(10분)"
"루즈","X","저녁","함께","감각 민감+추구형","함께 아로마 요가(15분)","컬러링북 색칠(10분)","차 시음 모임(10분)"
"루즈","X","저녁","함께","감각 추구형","즉흥 댄스(10분)","새로운 카페 탐방(15분)","다양한 간식 시식(10분)"
"루즈","X","저녁","함께","감각 민감+회피형","조용한 산책(20분)","퍼즐 맞추기(15분)","잔잔한 음악 듣기(10분)"
"루즈","X","저녁","함께","감각 회피형","소규모 독서 모임(20분)","명상 클래스(10분)","뜨개질 클래스(15분)"
"타이트","O","아침","혼자","감각 둔감형","빠른 계단 오르기(10분)","강한 맛 커피(5분)","시끄러운 음악(5분)"
"타이트","O","아침","혼자","감각 민감+추구형","짧은 명상(5분)","컬러링북 색칠(5분)","향초 켜기(5분)"
"타이트","O","아침","혼자","감각 추구형","즉흥 그림(7분)","다양한 차 시음(5분)","촉감 놀이(5분)"
"타이트","O","아침","혼자","감각 민감+회피형","짧은 명상(5분)","잔잔한 음악 감상(5분)","정리정돈(5분)"
"타이트","O","아침","혼자","감각 회피형","퍼즐 맞추기(7분)","뜨개질(7분)","조용한 독서(7분)"
"타이트","O","아침","함께","감각 둔감형","친구와 빠른 산책(10분)","단체 스트레칭(7분)","활기찬 대화(7분)"
"타이트","O","아침","함께","감각 민감+추구형","함께 요가(7분)","컬러링북 색칠(7분)","차 시음(7분)"
"타이트","O","아침","함께","감각 추구형","즉흥 댄스(7분)","새로운 간식 시식(7분)","다양한 카페 탐방(7분)"
"타이트","O","아침","함께","감각 민감+회피형","조용한 산책(10분)","퍼즐 맞추기(7분)","잔잔한 음악 듣기(7분)"
"타이트","O","아침","함께","감각 회피형","소규모 독서 모임(10분)","명상 클래스(7분)","뜨개질 클래스(7분)"
"타이트","O","저녁","혼자","감각 둔감형","빠른 러닝(10분)","강렬한 음악 감상(5분)","차가운 샤워(5분)"
"타이트","O","저녁","혼자","감각 민감+추구형","짧은 요가(7분)","컬러링북 색칠(7분)","향초 켜기(5분)"
"타이트","O","저녁","혼자","감각 추구형","즉흥 그림(7분)","다양한 허브차 시음(5분)","촉감 놀이(5분)"
"타이트","O","저녁","혼자","감각 민감+회피형","저녁 명상(5분)","잔잔한 음악 감상(5분)","정리정돈(5분)"
"타이트","O","저녁","혼자","감각 회피형","퍼즐 맞추기(7분)","뜨개질(7분)","조용한 독서(7분)"
"타이트","O","저녁","함께","감각 둔감형","친구와 빠른 산책(10분)","단체 스트레칭(7분)","활기찬 대화(7분)"
"타이트","O","저녁","함께","감각 민감+추구형","함께 요가(7분)","컬러링북 색칠(7분)","차 시음(7분)"
"타이트","O","저녁","함께","감각 추구형","즉흥 댄스(7분)","새로운 간식 시식(7분)","다양한 카페 탐방(7분)"
"타이트","O","저녁","함께","감각 민감+회피형","조용한 산책(10분)","퍼즐 맞추기(7분)","잔잔한 음악 듣기(7분)"
"타이트","O","저녁","함께","감각 회피형","소규모 독서 모임(10분)","명상 클래스(7분)","뜨개질 클래스(7분)"
"타이트","X","아침","혼자","감각 둔감형","빠른 계단 오르기(10분)","강한 맛 커피(5분)","시끄러운 음악(5분)"
"타이트","X","아침","혼자","감각 민감+추구형","짧은 명상(5분)","컬러링북 색칠(5분)","향초 켜기(5분)"
"타이트","X","아침","혼자","감각 추구형","즉흥 그림(7분)","다양한 차 시음(5분)","촉감 놀이(5분)"
"타이트","X","아침","혼자","감각 민감+회피형","짧은 명상(5분)","잔잔한 음악 감상(5분)","정리정돈(5분)"
"타이트","X","아침","혼자","감각 회피형","퍼즐 맞추기(7분)","뜨개질(7분)","조용한 독서(7분)"
"타이트","X","아침","함께","감각 둔감형","친구와 빠른 산책(10분)","단체 스트레칭(7분)","활기찬 대화(7분)"
"타이트","X","아침","함께","감각 민감+추구형","함께 요가(7분)","컬러링북 색칠(7분)","차 시음(7분)"
"타이트","X","아침","함께","감각 추구형","즉흥 댄스(7분)","새로운 간식 시식(7분)","다양한 카페 탐방(7분)"
"타이트","X","아침","함께","감각 민감+회피형","조용한 산책(10분)","퍼즐 맞추기(7분)","잔잔한 음악 듣기(7분)"
"타이트","X","아침","함께","감각 회피형","소규모 독서 모임(10분)","명상 클래스(7분)","뜨개질 클래스(7분)"
"타이트","X","저녁","혼자","감각 둔감형","빠른 러닝(10분)","강렬한 음악 감상(5분)","차가운 샤워(5분)"
"타이트","X","저녁","혼자","감각 민감+추구형","짧은 요가(7분)","컬러링북 색칠(7분)","향초 켜기(5분)"
"타이트","X","저녁","혼자","감각 추구형","즉흥 그림(7분)","다양한 허브차 시음(5분)","촉감 놀이(5분)"
"타이트","X","저녁","혼자","감각 민감+회피형","저녁 명상(5분)","잔잔한 음악 감상(5분)","정리정돈(5분)"
"타이트","X","저녁","혼자","감각 회피형","퍼즐 맞추기(7분)","뜨개질(7분)","조용한 독서(7분)"
"타이트","X","저녁","함께","감각 둔감형","친구와 빠른 산책(10분)","단체 스트레칭(7분)","활기찬 대화(7분)"
"타이트","X","저녁","함께","감각 민감+추구형","함께 요가(7분)","컬러링북 색칠(7분)","차 시음(7분)"
"타이트","X","저녁","함께","감각 추구형","즉흥 댄스(7분)","새로운 간식 시식(7분)","다양한 카페 탐방(7분)"
"타이트","X","저녁","함께","감각 민감+회피형","조용한 산책(10분)","퍼즐 맞추기(7분)","잔잔한 음악 듣기(7분)"
"타이트","X","저녁","함께","감각 회피형","소규모 독서 모임(10분)","명상 클래스(7분)","뜨개질 클래스(7분)"